t_sec,abp_mmHg,resp_arbunit,spo2_unitless,scon_muS
0,95.12233,0.3198286,0.9699246,3.396228
0.05135774,94.48659,0.32243,0.9699246,3.396228
0.1002369,92.32506,0.32243,0.9697599,3.396228
0.1498478,87.23911,0.32243,0.9697599,3.396228
0.2013736,84.82329,0.3237312,0.9699246,3.396228
0.2499799,82.15317,0.3237312,0.9699246,3.396228
0.3003497,80.24594,0.3237312,0.9798071,3.396228
0.3493529,78.97446,0.32243,0.9796425,3.396228
0.3998419,78.08442,0.32243,0.9798071,3.389769
0.4507048,76.43149,0.3159265,0.9798071,3.389769
0.4997355,73.88851,0.3172272,0.9799718,3.389769
0.5505888,77.44867,0.328934,0.9798071,3.396228
0.5999863,98.9368,0.3250319,0.9798071,3.396228
0.6499851,111.6517,0.3250319,0.9798071,3.389769
0.7013431,106.6929,0.3250319,0.9798071,3.389769
0.7497604,104.0227,0.3250319,0.9799718,3.389769
0.800384,104.277,0.3198286,0.9799718,3.396228
0.8496284,97.41101,0.3185279,0.9799718,3.389769
0.8997181,94.48659,0.3133246,0.9799718,3.389769
0.950988,94.10515,0.3068206,0.9798071,3.389769
1.000018,90.67213,0.3055199,0.9799718,3.389769
1.051358,86.22193,0.3042192,0.9798071,3.389769
1.10024,84.0604,0.3081213,0.9798071,3.389769
1.149847,81.64457,0.3159265,0.9798071,3.38331
1.201347,79.3559,0.3406413,0.9798071,3.389769
1.24937,77.83012,0.3978757,0.9798071,3.389769
1.300344,75.66859,0.4772241,0.9798071,3.389769
1.34985,75.41429,0.6086035,0.9798071,3.38331
1.399868,74.90571,0.6528299,0.9798071,3.389769
1.45136,72.36273,0.7022601,0.9799718,3.389769
1.499616,77.70296,0.7607952,0.9798071,3.38331
1.551382,111.7788,0.8037214,0.9798071,3.38331
1.599697,107.2015,0.8258348,0.9798071,3.389769
1.650467,104.5313,0.8752645,0.9798071,3.38331
1.699824,103.387,0.8869718,0.9798071,3.38331
1.751342,101.0983,0.8843704,0.9798071,3.38331
1.800202,93.34225,0.8856711,0.9799718,3.38331
1.849721,92.96081,0.8726631,0.9798071,3.38331
1.899356,91.56216,0.8570536,0.9798071,3.38331
1.949589,87.62056,0.8401435,0.9798071,3.38331
2.001503,85.20473,0.8141274,0.9799718,3.376851
2.049978,83.29751,0.7829086,0.9799718,3.38331
2.099695,80.62739,0.7646978,0.9798071,3.376851
2.149343,79.3559,0.7490883,0.9798071,3.376851
2.200508,78.21156,0.7217716,0.9798071,3.38331
2.251002,75.41429,0.7100648,0.9798071,3.376851
2.299589,78.72016,0.6866506,0.9798071,3.376851
2.350343,104.9128,0.6476271,0.9798071,3.376851
2.400488,109.9987,0.6294158,0.9798071,3.376851
2.449377,103.387,0.6164082,0.9798071,3.376851
2.501336,101.7341,0.592994,0.9799718,3.376851
2.550016,100.9712,0.5487672,0.9798071,3.370391
2.599817,93.34225,0.4863295,0.9798071,3.376851
2.650474,91.81647,0.4668174,0.9798071,3.376851
2.700475,92.32506,0.451208,0.9798071,3.376851
2.751588,88.38345,0.4395012,0.9798071,3.376851
2.799599,84.44184,0.4277939,0.9798071,3.370391
2.850343,82.15317,0.4551106,0.9796425,3.370391
2.900603,80.88168,0.4941342,0.9798071,3.376851
2.950593,78.59301,0.4811262,0.9796425,3.376851
