t_sec,abp_mmHg,resp_arbunit,spo2_unitless,scon_muS
0,103.0055,0.839597,0.9799718,2.181905
0.04799257,101.8612,0.8496445,0.9898543,2.181905
0.09962589,98.04675,0.877277,0.9898543,2.181905
0.1483752,95.75809,0.9049096,0.9898543,2.188364
0.1981225,94.2323,0.9074214,0.9898543,2.181905
0.2490114,90.79928,0.9049096,0.9896896,2.181905
0.2989915,91.43503,0.9023977,0.9896896,2.181905
0.3500639,131.4868,0.9124461,0.9898543,2.181905
0.3987468,139.3701,0.9124461,0.9898543,2.181905
0.4484966,135.047,0.9074214,0.9898543,2.181905
0.4996212,135.047,0.8948621,0.9900191,2.181905
0.5483721,135.4285,0.8848136,0.9900191,2.181905
0.5990971,125.7652,0.8747652,0.9898543,2.181905
0.6482419,123.3493,0.877277,0.9898543,2.181905
0.6989886,124.4937,0.8823017,0.9896896,2.175446
0.7499361,119.2806,0.8823017,0.9898543,2.181905
0.7980371,117.119,0.8722533,0.9898543,2.175446
0.8495816,112.6688,0.8571811,0.9896896,2.175446
0.8979968,109.363,0.8471326,0.9898543,2.175446
0.9480082,107.3286,0.8446208,0.9900191,2.175446
0.9992467,104.1499,0.8370851,0.9898543,2.175446
1.048503,100.3354,0.8144764,0.9896896,2.175446
1.099785,98.55534,0.7918685,0.9898543,2.175446
1.148534,96.90242,0.7994041,0.9898543,2.175446
1.198534,95.37663,0.7717717,0.9898543,2.175446
1.249784,92.19792,0.7139947,0.9898543,2.168987
1.298538,95.63092,0.6210496,0.9896896,2.175446
1.349778,132.2497,0.5682974,0.9898543,2.175446
1.398559,139.1158,0.5456887,0.9898543,2.175446
1.44827,134.7927,0.4853999,0.9898543,2.175446
1.499532,135.8099,0.4351595,0.9896896,2.168987
1.548018,137.0814,0.3597976,0.9898543,2.168987
1.598995,129.1982,0.3271413,0.9898543,2.168987
1.648236,125.7652,0.3196057,0.9898543,2.168987
1.699003,125.2566,0.314581,0.9898543,2.168987
1.749042,119.4077,0.3095573,0.9898543,2.168987
1.79826,116.6105,0.2869494,0.9898543,2.168987
1.849241,111.906,0.2316844,0.9898543,2.168987
1.898854,109.6173,0.2065638,0.9898543,2.168987
1.948611,106.0571,0.1940034,0.9896896,2.168987
2.000097,104.5313,0.1864678,0.9898543,2.162528
2.048484,103.0055,0.1538115,0.9896896,2.168987
2.099489,98.55534,0.1111068,0.9896896,2.168987
2.149237,96.90242,0.1161306,0.9898543,2.168987
2.199238,93.85085,0.1186424,0.9898543,2.162528
2.249238,93.08795,0.07844961,0.9896896,2.168987
2.298998,88.38345,0.01313706,0.9898543,2.162528
2.350234,126.0195,-0.04463986,0.9898543,2.162528
2.399017,142.9302,-0.05971205,0.9896896,2.162528
2.448862,140.5144,-0.117489,0.9898543,2.162528
2.499994,138.6072,-0.2003856,0.9896896,2.168987
2.548734,141.7859,-0.2631872,0.9898543,2.168987
2.599778,137.7171,-0.3008672,0.9898543,2.162528
2.648246,128.0538,-0.3209632,0.9898543,2.162528
2.698087,127.2909,-0.3284997,0.9896896,2.162528
2.74936,124.1122,-0.3310116,0.9896896,2.168987
2.798109,123.7308,-0.3485957,0.9896896,2.162528
2.849231,117.3734,-0.3812529,0.9898543,2.168987
2.89873,112.2874,-0.4113973,0.9898543,2.162528
2.948607,109.2358,-0.436517,0.9898543,2.168987
3.000107,105.6757,-0.4465654,0.9898543,2.168987
3.048804,101.9884,-0.474198,0.9799718,2.168987
3.09985,98.80965,-0.5018305,0.9799718,2.175446
3.148649,97.66531,-0.5219264,0.9799718,2.168987
3.198651,94.74089,-0.5043424,0.9798071,2.175446
3.249647,92.7065,-0.5269502,0.9799718,2.175446
3.298987,91.18073,-0.5822152,0.9798071,2.175446
3.350019,91.94361,-0.6676247,0.9799718,2.175446
3.398728,133.0126,-0.7279134,0.9798071,2.175446
3.448603,139.8786,-0.7404737,0.9798071,2.168987
3.499312,138.9886,-0.8032745,0.9798071,2.175446
3.549115,139.7515,-0.8309069,0.9799718,2.175446
3.599682,140.2601,-0.8233704,0.9798071,2.175446
3.648207,128.9439,-0.7856904,0.9796425,2.175446
3.699018,126.528,-0.7128413,0.9798071,2.168987
3.750232,127.1638,-0.6198962,0.9798071,2.175446
3.798847,122.4593,-0.5369986,0.9798071,2.175446
3.849855,114.7032,-0.4490773,0.9798071,2.175446
3.899207,112.6688,-0.3485957,0.9798071,2.175446
3.948995,109.6173,-0.2430903,0.9798071,2.168987
3.999309,106.0571,-0.09488021,0.9798071,2.175446
4.048122,103.6413,0.005601424,0.9799718,2.168987
4.100207,100.7169,0.05081802,0.9798071,2.168987
4.148855,95.75809,0.08849805,0.9798071,2.168987
4.198848,96.26666,0.1437631,0.9798071,2.175446
4.250114,93.34225,0.1965153,0.9798071,2.168987
4.298724,91.56216,0.2291725,0.9798071,2.175446
4.349723,89.2735,0.2718772,0.9798071,2.175446
4.398198,124.2394,0.3020216,0.9798071,2.175446
4.448203,137.7171,0.3572857,0.9799718,2.175446
4.499344,137.0814,0.3874301,0.9798071,2.175446
4.548474,136.8271,0.427623,0.9799718,2.175446
4.599721,139.3701,0.5406649,0.9798071,2.175446
4.649231,130.0882,0.6110012,0.9798071,2.175446
4.699143,124.3665,0.6662663,0.9798071,2.175446
4.749233,125.7652,0.7315797,0.9798071,2.181905
4.798235,126.0195,0.7943804,0.9798071,2.181905
4.849473,118.772,0.8345723,0.9798071,2.175446
4.899324,114.7032,0.8622048,0.9798071,2.181905
4.948974,111.5245,0.8797898,0.9798071,2.181905
4.999302,110.7616,0.8923492,0.9799718,2.188364
5.049321,106.82,0.8973739,0.9798071,2.188364
5.099604,104.9128,0.8898373,0.9799718,2.188364
5.148916,99.95398,0.8722533,0.9799718,2.188364
5.198843,97.66531,0.8647167,0.9799718,2.188364
