t_sec,abp_mmHg,resp_arbunit,spo2_unitless,scon_muS
0,103.7684,-0.3766387,0.9898543,1.968753
0.04881303,102.6241,-0.3612959,0.9896896,1.968753
0.09935996,99.06393,-0.3536252,0.9896896,1.968753
0.1494372,97.79247,-0.3114335,0.9896896,1.968753
0.1995425,97.41101,-0.2845847,0.9896896,1.968753
0.2494929,93.59654,-0.2730772,0.9896896,1.968753
0.2987986,91.94361,-0.2654065,0.9896896,1.968753
0.3484345,91.81647,-0.2960907,0.9896896,1.968753
0.3995006,91.94361,-0.3958169,0.9896896,1.968753
0.4494203,91.18073,-0.5262259,0.9898543,1.968753
0.5004056,110.7616,-0.5569115,0.9898543,1.968753
0.5492684,167.4699,-0.6067739,0.9898543,1.968753
0.5992659,168.9957,-0.6221167,0.9896896,1.968753
0.6492713,160.6039,-0.6221167,0.9896896,1.968753
0.6996431,158.9509,-0.6604716,0.9896896,1.968753
0.7494976,155.0093,-0.6259521,0.9898543,1.968753
0.7994278,137.8443,-0.6144446,0.9896896,1.968753
0.8495135,135.4285,-0.5569115,0.9896896,1.968753
0.8988098,134.2841,-0.5262259,0.9896896,1.968753
0.9500112,131.2325,-0.4763635,0.9900191,1.968753
0.9995197,122.9679,-0.4418439,0.9896896,1.962294
1.049518,115.9747,-0.3843094,0.9898543,1.968753
1.098891,113.8132,-0.3075982,0.9898543,1.968753
1.148412,109.8716,-0.2155441,0.9896896,1.968753
1.200644,107.9643,-0.1196533,0.9898543,1.968753
1.250391,105.2942,-0.03527135,0.9898543,1.968753
1.298744,104.0227,0.06829018,0.9896896,1.968753
1.349447,100.4626,0.1680149,0.9896896,1.968753
1.39939,99.44539,0.2523983,0.9896896,1.968753
1.449512,98.55534,0.3137681,0.9898543,1.968753
1.499731,95.37663,0.3482877,0.9898543,1.968753
1.54943,94.61374,0.3981501,0.9896896,1.968753
1.598522,93.72369,0.4326711,0.9896896,1.968753
1.649439,120.4249,0.4748628,0.9898543,1.962294
1.699441,163.1468,0.540068,0.9896896,1.962294
1.749799,172.8101,0.5899304,0.9896896,1.968753
1.798433,160.3496,0.670477,0.9898543,1.962294
1.848433,157.4252,0.7548603,0.9898543,1.962294
1.899219,144.5831,0.8162302,0.9896896,1.962294
1.94991,138.6072,0.8660926,0.9898543,1.962294
1.999933,137.7171,0.9312977,0.9896896,1.962294
2.04852,136.1913,0.9773248,0.9896896,1.962294
2.099355,130.0882,1.027187,0.9898543,1.962294
2.148616,122.205,1.084722,0.9898543,1.962294
2.199526,118.2634,1.134583,0.9896896,1.962294
2.250597,111.5245,1.176776,0.9898543,1.962294
2.298896,110.6345,1.207461,0.9898543,1.962294
2.34854,106.0571,1.230473,0.9898543,1.962294
2.399659,103.7684,1.23431,0.9896896,1.962294
2.450599,102.6241,1.238144,0.9898543,1.962294
2.499972,99.82683,1.218966,0.9898543,1.955835
2.548862,98.6825,1.188283,0.9896896,1.955835
2.59938,98.04675,1.088556,0.9896896,1.962294
2.649158,95.88522,1.031023,0.9898543,1.955835
2.699757,95.75809,0.9658173,0.9896896,1.955835
2.74949,115.4661,0.9197903,0.9896896,1.955835
2.798628,172.8101,0.8469144,0.9896896,1.955835
2.849631,162.1297,0.7702031,0.9896896,1.955835
2.899626,158.0609,0.6743137,0.9898543,1.955835
2.950421,150.5591,0.5976011,0.9898543,1.955835
3.000713,135.8099,0.5439033,0.9898543,1.955835
3.048882,133.6484,0.5132177,0.9896896,1.955835
3.098748,135.047,0.4556846,0.9898543,1.955835
3.14888,128.5624,0.4211636,0.9898543,1.949375
3.199638,121.0607,0.3828087,0.9898543,1.955835
3.250502,117.3734,0.3444524,0.9900191,1.955835
3.299128,113.0503,0.3176035,0.9896896,1.955835
3.349648,107.71,0.2869179,0.9898543,1.949375
3.399649,105.4214,0.2715765,0.9898543,1.949375
3.449703,103.7684,0.260069,0.9898543,1.949375
3.499661,101.8612,0.2370555,0.9896896,1.949375
3.549423,100.7169,0.1910285,0.9896896,1.949375
3.599676,98.9368,0.1756871,0.9898543,1.949375
3.649679,97.66531,0.07979623,0.9896896,1.949375
3.699683,96.90242,0.02226315,0.9898543,1.949375
3.750509,99.44539,-0.0391067,0.9898543,1.949375
3.798904,166.9613,-0.06979091,0.9896896,1.942916
3.848913,177.5146,-0.1081472,0.9896896,1.942916
3.898907,173.573,-0.1273254,0.9896896,1.949375
3.950698,166.0713,-0.1503389,0.9896896,1.949375
4.000635,162.7654,-0.1925306,0.9896896,1.942916
4.048873,146.6175,-0.242393,0.9896896,1.942916
4.09891,142.0402,-0.2462283,0.9896896,1.942916
4.14888,139.8786,-0.242393,0.9898543,1.942916
4.200287,138.0986,-0.242393,0.9900191,1.942916
4.250285,126.4009,-0.2347223,0.9898543,1.942916
4.299041,122.0779,-0.2308855,0.9896896,1.942916
4.349339,118.2634,-0.2232148,0.9898543,1.942916
4.398894,113.9403,-0.2040367,0.9896896,1.942916
4.450293,113.1774,-0.1886953,0.9900191,1.942916
4.500121,107.5829,-0.1733524,0.9898543,1.942916
4.549742,103.8956,-0.1426668,0.9896896,1.942916
4.598703,101.9884,-0.1349961,0.9896896,1.942916
4.648677,100.4626,-0.1273254,0.9898543,1.936457
4.699999,99.95398,-0.1273254,0.989525,1.936457
4.750762,98.04675,-0.1656803,0.9900191,1.942916
4.799663,95.50377,-0.2385576,0.9898543,1.936457
4.849646,94.2323,-0.3536252,0.9896896,1.936457
4.899675,116.4833,-0.4495146,0.9896896,1.936457
4.949619,174.0816,-0.499377,0.9898543,1.936457
4.999737,171.6658,-0.4955417,0.9896896,1.936457
5.04916,166.707,-0.499377,0.9898543,1.936457
5.09901,163.9097,-0.5032123,0.9896896,1.936457
5.149482,159.7138,-0.499377,0.9898543,1.929998
5.200721,142.8031,-0.4686928,0.9900191,1.936457
5.25068,141.023,-0.3804741,0.9896896,1.936457
5.299404,141.023,-0.3574606,0.9898543,1.929998
5.348744,133.5212,-0.3306117,0.9896896,1.936457
5.398743,127.6724,-0.3114335,0.9896896,1.929998
5.449824,121.6964,-0.2807493,0.9896896,1.929998
5.499664,117.3734,-0.2347223,0.9898543,1.936457
5.549114,114.3218,-0.1465036,0.9896896,1.929998
5.598996,109.9987,-0.09663977,0.9898543,1.929998
5.649281,107.5829,0.006920336,0.9898543,1.929998
5.70041,105.5485,0.1143172,0.9898543,1.929998
5.749933,101.6069,0.1948638,0.9898543,1.929998
5.79953,98.42819,0.2677411,0.9898543,1.929998
5.849652,96.26666,0.3559598,0.9896896,1.923539
5.899489,94.61374,0.4134929,0.9898543,1.929998
5.950469,93.72369,0.5439033,0.9896896,1.929998
6.000526,92.96081,0.8545865,0.9898543,1.929998
6.04885,129.071,1.050201,0.9896896,1.929998
6.098759,173.3188,1.123078,0.9898543,1.923539
6.149571,170.14,1.211295,0.9898543,1.929998
6.200756,165.9441,1.345542,0.9896896,1.929998
6.25074,162.8926,1.376225,0.9900191,1.929998
6.299408,159.7138,1.39924,0.9896896,1.923539
6.349607,141.023,1.429923,0.9896896,1.923539
6.399777,140.2601,1.449101,0.9900191,1.929998
