t_sec,abp_mmHg,resp_arbunit,spo2_unitless,scon_muS
0,102.497,0.6553498,0.9798071,3.745023
0.04864551,100.4626,0.7126192,0.9798071,3.738563
0.09866086,97.9196,0.762729,0.9798071,3.738563
0.1496162,96.13953,0.8235775,0.9798071,3.738563
0.1993427,93.2151,0.9202195,0.9798071,3.738563
0.2497574,91.18073,1.020439,0.9799718,3.738563
0.2984914,88.89205,1.070551,0.9799718,3.738563
0.3489679,87.62056,1.120662,0.9799718,3.738563
0.4000223,85.33189,1.142136,0.9796425,3.738563
0.4496048,83.04321,1.138556,0.9796425,3.738563
0.5002462,86.34908,1.142136,0.9798071,3.738563
0.5488802,134.2841,1.160033,0.9799718,3.732104
0.5987727,136.5728,1.17793,0.9798071,3.732104
0.649607,129.9611,1.213723,0.9799718,3.732104
0.698773,126.9095,1.242356,0.9796425,3.732104
0.7497407,122.5864,1.256675,0.9798071,3.732104
0.7993983,116.9919,1.285308,0.9798071,3.732104
0.8491468,116.9919,1.306785,0.9798071,3.732104
0.8999211,116.8647,1.285308,0.9798071,3.732104
0.9493949,108.0915,1.27815,0.9798071,3.725645
0.9998872,105.5485,1.256675,0.9798071,3.725645
1.049002,99.95398,1.235198,0.9798071,3.725645
1.098604,98.1739,1.199404,0.9799718,3.725645
1.149493,96.90242,1.167191,0.9798071,3.732104
1.19875,95.12233,1.138556,0.9796425,3.732104
1.249514,92.32506,1.102764,0.9798071,3.732104
1.299091,90.79928,1.059812,0.9798071,3.732104
1.349001,87.62056,1.020439,0.9796425,3.725645
1.400164,87.23911,0.9989635,0.9798071,3.725645
1.448776,83.67896,0.8486325,0.9799718,3.725645
1.499604,81.00883,0.6875643,0.9798071,3.725645
1.549127,83.67896,0.6052399,0.9798071,3.725645
1.599605,147.889,0.5766045,0.9798071,3.725645
1.649915,147.2533,0.5300738,0.9798071,3.725645
1.699135,127.7995,0.4549089,0.9799718,3.725645
1.749709,125.638,0.4012186,0.9799718,3.725645
1.799374,121.1878,0.3511087,0.9798071,3.725645
1.848837,115.0847,0.3367911,0.9796425,3.719186
1.900244,115.0847,0.3153152,0.9799718,3.725645
1.948913,113.8132,0.2795217,0.9799718,3.719186
1.999892,106.4386,0.2329909,0.9798071,3.725645
2.049589,103.387,0.1685633,0.9798071,3.719186
2.099369,100.3354,0.09339718,0.9798071,3.719186
2.150608,97.15671,0.04328729,0.9798071,3.719186
2.1986,96.77527,-0.03187754,0.9796425,3.719186
2.250645,93.85085,-0.06409198,0.9796425,3.719186
2.299552,91.81647,-0.1428372,0.9798071,3.719186
2.349637,88.38345,-0.2394779,0.9798071,3.719186
2.399598,87.11198,-0.3289617,0.9798071,3.719186
2.449165,87.23911,-0.3182231,0.9798071,3.712727
2.500545,82.78893,-0.4112847,0.9799718,3.719186
2.549553,81.00883,-0.5580366,0.9798071,3.712727
2.599161,86.98483,-0.7047885,0.9798071,3.712727
2.649492,111.1431,-0.7692161,0.9798071,3.712727
2.699337,138.0986,-0.7906919,0.9798071,3.712727
2.750001,132.6312,-0.8014305,0.9798071,3.712727
2.798523,130.5968,-0.7978514,0.9796425,3.712727
2.849641,129.5796,-0.7548997,0.9798071,3.712727
2.900013,119.7892,-0.6833127,0.9798071,3.712727
2.949046,119.2806,-0.5759334,0.9796425,3.706268
3.000683,117.7548,-0.4506573,0.9798071,3.706268
3.049091,108.8544,-0.2752714,0.9798071,3.706268
3.099233,107.5829,-0.0569338,0.9796425,3.706268
3.15049,103.2598,0.1685633,0.9798071,3.706268
3.199687,99.44539,0.3188943,0.9798071,3.706268
3.25024,98.1739,0.4191154,0.9796425,3.706268
3.299361,95.37663,0.5229156,0.9798071,3.706268
3.349364,93.46941,0.608819,0.9799718,3.706268
3.400382,90.29069,0.662508,0.9798071,3.699808
3.449393,89.14634,0.7090401,0.9798071,3.706268
3.499966,85.58618,0.7663081,0.9798071,3.706268
3.548673,85.58618,0.8164194,0.9796425,3.699808
3.5996,82.53461,0.8271566,0.9798071,3.699808
3.650487,79.86449,0.8164194,0.9798071,3.699808
3.699485,109.1087,0.8522115,0.9799718,3.706268
3.749574,150.6863,0.9023228,0.9798071,3.699808
3.798933,136.9542,0.9452745,0.9798071,3.699808
3.848729,131.4868,1.01686,0.9798071,3.699808
3.899647,127.1638,1.07413,0.9798071,3.699808
3.948722,125.2566,1.113501,0.9798071,3.699808
4.000718,117.2462,1.17793,0.9799718,3.699808
4.048528,116.8647,1.270991,0.9798071,3.699808
4.099234,116.8647,1.338998,0.9798071,3.693349
4.149556,109.4901,1.378372,0.9798071,3.699808
4.199392,105.5485,1.374792,0.9798071,3.693349
4.250237,101.8612,1.338998,0.9798071,3.693349
4.298746,100.7169,1.303205,0.9798071,3.693349
4.348531,97.28386,1.292469,0.9798071,3.693349
4.399607,96.90242,1.256675,0.9798071,3.693349
4.449008,92.96081,1.210143,0.9798071,3.693349
4.500151,90.92643,1.134978,0.9798071,3.693349
4.54873,87.49342,1.056233,0.9798071,3.68689
4.599107,85.58618,0.9810667,0.9798071,3.693349
4.650631,85.96764,0.9166391,0.9798071,3.693349
4.699364,82.28033,0.7161983,0.9798071,3.693349
4.750656,80.24594,0.5730255,0.9798071,3.693349
4.799192,87.49342,0.4477494,0.9796425,3.68689
4.849366,135.6828,0.386901,0.9798071,3.68689
4.900151,136.5728,0.3511087,0.9799718,3.68689
4.948648,128.4353,0.3045766,0.9796425,3.68689
5.000086,125.638,0.211515,0.9798071,3.693349
5.04911,123.3493,0.09697758,0.9798071,3.68689
5.098778,117.3734,0.02181143,0.9796425,3.68689
5.150376,116.9919,-0.06051289,0.9799718,3.68689
5.198705,116.6105,-0.1249405,0.9798071,3.68689
5.24958,107.5829,-0.1786294,0.9799718,3.68689
5.29917,103.0055,-0.2287406,0.9798071,3.680431
5.349603,99.95398,-0.2824296,0.9798071,3.68689
5.400329,98.80965,-0.3361199,0.9798071,3.68689
5.448605,95.88522,-0.3826507,0.9798071,3.680431
5.500353,93.72369,-0.4148651,0.9798071,3.680431
5.548964,91.81647,-0.4256024,0.9798071,3.680431
5.598974,88.63776,-0.4542364,0.9798071,3.680431
5.649644,88.38345,-0.5043476,0.9798071,3.680431
5.698873,85.58618,-0.4828718,0.9799718,3.680431
5.750101,84.82329,-0.4685541,0.9798071,3.680431
5.798747,81.26313,-0.5508785,0.9796425,3.680431
5.8496,80.11879,-0.6940513,0.9798071,3.680431
5.899685,89.40065,-0.765637,0.9798071,3.680431
5.949347,150.3048,-0.7835338,0.9798071,3.680431
6.000643,133.9027,-0.7727965,0.9798071,3.680431
6.049145,130.0882,-0.7620579,0.9798071,3.680431
6.099118,128.4353,-0.7012094,0.9798071,3.680431
6.150116,122.7136,-0.6224642,0.9798071,3.68689
6.199571,118.6448,-0.4721332,0.9796425,3.68689
6.2501,117.7548,-0.311065,0.9798071,3.68689
6.298918,113.0503,-0.1714713,0.9796425,3.68689
6.349548,107.3286,-0.006822597,0.9799718,3.693349
6.400375,104.4042,0.2079359,0.9798071,3.699808
6.448866,100.4626,0.3117361,0.9798071,3.699808
6.500144,98.04675,0.3761637,0.9798071,3.706268
6.548893,96.26666,0.4549089,0.9798071,3.712727
6.598891,94.2323,0.5336528,0.9798071,3.712727
6.649929,93.08795,0.6052399,0.9798071,3.725645
6.699393,89.14634,0.6410321,0.9798071,3.725645
6.750553,87.23911,0.6804047,0.9799718,3.725645
6.799127,86.22193,0.734095,0.9798071,3.738563
6.84864,84.569,0.7663081,0.9798071,3.745023
6.899857,81.89888,0.7770467,0.9799718,3.751482
6.948842,79.48306,0.787784,0.9798071,3.757941
6.999952,103.5141,0.8772678,0.9798071,3.770859
7.049512,151.1949,0.9739085,0.9798071,3.777318
7.099382,134.6656,1.027599,0.9798071,3.777318
7.150635,127.4181,1.066971,0.9798071,3.783778
7.199389,125.7652,1.095605,0.9796425,3.796696
7.250432,123.7308,1.124239,0.9798071,3.803155
7.298676,120.6792,1.160033,0.9798071,3.809614
7.34908,119.4077,1.202985,0.9798071,3.816073
7.400341,116.7376,1.217301,0.9798071,3.822533
7.44905,109.1087,1.199404,0.9798071,3.828992
7.500707,106.5657,1.160033,0.9799718,3.84191
7.549338,102.3698,1.117081,0.9798071,3.848369
7.599614,100.9712,1.077709,0.9796425,3.861288
7.649697,100.4626,1.070551,0.9798071,3.867747
7.699226,97.41101,1.095605,0.9798071,3.867747
7.750339,93.2151,1.084867,0.9798071,3.880665
7.799075,92.7065,1.056233,0.9796425,3.887124
7.849585,90.03638,1.031178,0.9798071,3.893583
7.900347,88.7649,0.9774876,0.9798071,3.900043
7.948846,85.07759,0.8199984,0.9798071,3.912961
8.000086,85.07759,0.6732466,0.9798071,3.912961
8.048712,115.7204,0.608819,0.9798071,3.925879
8.099379,150.432,0.5766045,0.9798071,3.932338
8.149969,133.1398,0.4942802,0.9798071,3.932338
8.198896,128.4353,0.361846,0.9798071,3.938797
8.249836,127.2909,0.2938394,0.9798071,3.945257
8.299335,122.3321,0.2437295,0.9798071,3.951716
8.349062,120.0435,0.1971973,0.9798071,3.951716
8.39956,119.0263,0.1184534,0.9798071,3.958175
8.449355,115.4661,0.01823235,0.9798071,3.964634
8.50075,107.9643,-0.1177823,0.9798071,3.971093
8.549502,104.0227,-0.2287406,0.9798071,3.971093
8.599504,102.3698,-0.314644,0.9798071,3.977553
8.650747,99.57254,-0.3719134,0.9798071,3.984012
8.699217,97.9196,-0.4005475,0.9799718,3.984012
8.750061,96.39381,-0.4721332,0.9798071,3.99693
8.798745,93.34225,-0.6510996,0.9798071,3.99693
8.848992,91.68932,-0.7727965,0.9798071,4.003389
8.899707,91.05358,-0.7906919,0.9798071,4.003389
8.949165,88.63776,-0.8479613,0.9798071,4.009848
9.000214,84.18755,-1.048404,0.9796425,4.009848
9.049044,89.78209,-1.256003,0.9798071,4.016308
9.099363,136.0642,-1.266741,0.9798071,4.016308
9.150375,151.322,-1.187996,0.9796425,4.022767
9.199751,136.5728,-1.005452,0.9796425,4.029226
9.250055,134.9198,-0.7978514,0.9798071,4.029226
9.299386,133.0126,-0.615306,0.9796425,4.029226
9.348723,121.5692,-0.4721332,0.9798071,4.029226
9.40065,120.5521,-0.2824296,0.9796425,4.035685
9.449376,120.6792,-0.1034646,0.9796425,4.042144
9.499679,117.2462,0.114873,0.9799718,4.042144
9.549334,108.2186,0.2580458,0.9798071,4.048604
9.598827,106.4386,0.3582669,0.9798071,4.048604
9.650331,105.6757,0.4728044,0.9798071,4.055062
9.698623,103.1327,0.5622882,0.9798071,4.055062
9.750089,100.844,0.6302949,0.9798071,4.055062
9.798623,97.9196,0.6875643,0.9796425,4.055062
9.848765,95.88522,0.7269355,0.9798071,4.061522
9.900625,93.08795,0.7842049,0.9799718,4.067981
9.949345,92.83366,0.9059018,0.9798071,4.067981
10.0006,90.41783,0.9846471,0.9796425,4.07444
10.04904,86.22193,0.9774876,0.9798071,4.07444
10.09974,94.35944,1.013281,0.9798071,4.07444
10.14962,139.4972,1.049075,0.9798071,4.080899
10.19974,147.6347,1.070551,0.9796425,4.087358
10.24962,135.3013,1.102764,0.9798071,4.087358
10.29968,131.3597,1.134978,0.9799718,4.087358
10.34908,131.614,1.156453,0.9798071,4.087358
10.40049,122.9679,1.156453,0.9798071,4.093818
10.44887,122.3321,1.145717,0.9798071,4.093818
10.5003,122.5864,1.12782,0.9799718,4.100276
10.54887,116.3562,1.092026,0.9798071,4.100276
10.59919,109.7444,1.056233,0.9796425,4.100276
10.64993,108.2186,1.01686,0.9798071,4.106736
10.69901,105.4214,0.9846471,0.9798071,4.106736
10.75036,103.5141,0.9452745,0.9798071,4.106736
10.79949,100.4626,0.8701083,0.9796425,4.106736
10.84915,98.55534,0.7484114,0.9798071,4.113195
10.90049,95.75809,0.637453,0.9798071,4.113195
10.94886,95.12233,0.583764,0.9798071,4.113195
10.99986,91.94361,0.5264947,0.9796425,4.119654
11.04974,89.0192,0.39048,0.9798071,4.119654
11.09934,89.0192,0.3009975,0.9798071,4.119654
11.15068,118.5177,0.2294118,0.9798071,4.119654
11.19934,148.0162,0.1793006,0.9798071,4.119654
11.25071,135.8099,0.08265991,0.9798071,4.126113
11.29918,133.7755,0.02539052,0.9798071,4.119654
11.34914,132.8855,-0.08198874,0.9799718,4.119654
11.39992,122.5864,-0.160734,0.9798071,4.119654
11.44934,121.8235,-0.2108439,0.9799718,4.126113
11.50053,120.9335,-0.2752714,0.9798071,4.119654
11.54899,115.0847,-0.3504376,0.9798071,4.119654
11.59933,110.7616,-0.4041266,0.9798071,4.126113
11.64948,107.3286,-0.4399201,0.9798071,4.119654
11.70013,103.387,-0.5079268,0.9798071,4.126113
11.74917,101.9884,-0.5723543,0.9799718,4.119654
11.79903,99.57254,-0.6009883,0.9796425,4.126113
11.84932,98.30104,-0.6654159,0.9798071,4.126113
11.89916,95.50377,-0.7620579,0.9798071,4.126113
11.94967,93.978,-0.8085887,0.9798071,4.126113
11.99899,92.32506,-0.7763756,0.9798071,4.119654
12.04954,88.89205,-0.8765953,0.9796425,4.126113
12.09973,86.60338,-1.098513,0.9799718,4.119654
12.1492,93.2151,-1.266741,0.9796425,4.119654
12.20034,138.8615,-1.291796,0.9798071,4.126113
12.24904,149.0334,-1.291796,0.9798071,4.119654
12.29886,136.4456,-1.291796,0.9798071,4.113195
12.34929,136.1913,-1.298954,0.9796425,4.113195
12.39921,133.2669,-1.298954,0.9798071,4.113195
12.45015,124.1122,-1.27032,0.9798071,4.113195
12.49957,123.6036,-1.198735,0.9799718,4.113195
12.54885,122.9679,-1.055562,0.9798071,4.106736
12.59883,113.9403,-0.8944921,0.9796425,4.106736
12.64985,112.796,-0.6904721,0.9798071,4.106736
12.70045,104.5313,-0.5186653,0.9798071,4.106736
12.74954,102.6241,-0.3719134,0.9798071,4.106736
12.79927,101.6069,-0.214423,0.9796425,4.106736
12.84897,99.82683,-0.02114027,0.9798071,4.100276
12.89941,96.39381,0.1614051,0.9798071,4.100276
12.9503,95.50377,0.2759426,0.9798071,4.100276
12.99984,91.94361,0.3546878,0.9796425,4.100276
13.04905,91.43503,0.4728044,0.9798071,4.100276
13.09873,88.12916,0.512177,0.9796425,4.100276
13.14872,85.45904,0.5300738,0.9798071,4.093818
13.20073,89.2735,0.5551287,0.9798071,4.093818
13.2498,150.0505,0.6052399,0.9798071,4.093818
13.29968,141.5316,0.6517707,0.9799718,4.087358
13.34881,134.7927,0.6947224,0.9798071,4.087358
13.39981,132.7583,0.734095,0.9798071,4.087358
13.44968,132.2497,0.762729,0.9798071,4.080899
13.49955,121.5692,0.855792,0.9798071,4.080899
13.54967,121.1878,0.9452745,0.9798071,4.080899
13.59944,121.8235,1.009702,0.9796425,4.07444
13.64957,116.1019,1.052654,0.9798071,4.07444
13.70068,110.8888,1.092026,0.9799718,4.07444
13.74883,107.0743,1.113501,0.9798071,4.067981
13.79941,104.6585,1.131398,0.9796425,4.067981
13.84926,103.387,1.131398,0.9798071,4.067981
13.89955,101.2255,1.12782,0.9798071,4.061522
13.95033,99.82683,1.099185,0.9798071,4.067981
13.99952,97.02956,1.052654,0.9798071,4.061522
14.04955,95.24948,1.027599,0.9796425,4.061522
14.0996,93.72369,1.002542,0.9798071,4.061522
14.14932,90.03638,0.8486325,0.9798071,4.055062
14.2001,86.85767,0.6911433,0.9798071,4.055062
14.24941,100.5897,0.6123981,0.9798071,4.055062
14.29934,148.5248,0.5730255,0.9798071,4.048604
14.34867,147.2533,0.5336528,0.9798071,4.048604
14.3987,130.4697,0.458488,0.9798071,4.048604
14.45084,129.9611,0.3725846,0.9798071,4.042144
14.49952,124.1122,0.308157,0.9799718,4.035685
14.54942,119.0263,0.2902603,0.9798071,4.042144
14.59896,119.4077,0.2580458,0.9796425,4.035685
14.64903,119.9163,0.2258327,0.9798071,4.035685
14.70084,110.1259,0.1649842,0.9798071,4.035685
14.74924,105.6757,0.08981808,0.9798071,4.029226
14.79984,103.8956,0.03612911,0.9798071,4.029226
14.8498,101.6069,-0.0497743,0.9798071,4.022767
14.89984,99.82683,-0.09630642,0.9799718,4.022767
14.94976,97.28386,-0.1249405,0.9798071,4.022767
14.99871,95.37663,-0.1929471,0.9796425,4.016308
15.04984,93.34225,-0.3003264,0.9798071,4.016308
15.09939,90.79928,-0.3611749,0.9798071,4.009848
