t_sec,abp_mmHg,resp_arbunit,spo2_unitless,scon_muS
0,1.032348,0.5646731,0.9896896,7.517174
0.05117841,0.9051962,0.9484816,0.9896896,7.523633
0.100562,0.7780523,1.090821,0.9896896,7.523633
0.1506609,1.032348,1.127042,0.9896896,7.523633
0.2006476,0.6509008,1.165168,0.989525,7.517174
0.2502974,0.9051962,1.204566,0.9898543,7.517174
0.3015262,0.9051962,1.236973,0.9896896,7.523633
0.3499644,0.9051962,1.26811,0.9898543,7.517174
0.3996386,0.9051962,1.297976,0.9898543,7.517174
0.4507681,1.032348,1.355166,0.9898543,7.517174
0.5006258,0.7780523,1.41871,0.9898543,7.517174
0.551807,0.7780523,1.430148,0.9898543,7.517174
0.6004344,1.032348,1.430784,0.9896896,7.517174
0.6506429,0.7780523,1.434597,0.9896896,7.517174
0.7005056,0.7780523,1.435232,0.9896896,7.517174
0.7504312,1.032348,1.431419,0.9898543,7.510715
0.8013998,0.9051962,1.422523,0.9898543,7.517174
0.8502956,0.9051962,1.414898,0.9896896,7.510715
0.9003432,0.6509008,1.407272,0.9896896,7.510715
0.9504346,1.032348,1.399012,0.9896896,7.517174
1.000541,0.9051962,1.339915,0.9896896,7.510715
1.051298,0.7780523,1.226806,0.9896896,7.510715
1.100779,0.7780523,1.198211,0.9896896,7.510715
1.150516,0.7780523,1.170887,0.9896896,7.510715
1.200426,0.9051962,1.100353,0.9898543,7.510715
1.249616,1.032348,1.070487,0.9898543,7.510715
1.301127,0.6509008,0.9599196,0.9896896,7.510715
1.350483,0.9051962,0.713367,0.9898543,7.510715
1.400544,0.5237532,0.58882,0.9896896,7.510715
1.449867,0.7780523,0.5074832,0.9896896,7.504256
1.500736,0.9051962,0.4521995,0.9896896,7.504256
1.551775,1.032348,0.394374,0.9898543,7.510715
1.600633,1.032348,0.3047764,0.9898543,7.504256
1.650051,1.032348,0.2170851,0.9896896,7.504256
1.70004,0.7780523,0.1363837,0.9898543,7.504256
1.75089,0.9051962,-0.01040396,0.9898543,7.504256
1.80076,0.7780523,-0.1069916,0.9896896,7.504256
1.850286,0.6509008,-0.1438474,0.9898543,7.504256
1.900284,0.6509008,-0.1794323,0.9896896,7.504256
1.950101,0.7780523,-0.256321,0.9898543,7.504256
2.00073,0.7780523,-0.2772907,0.9896896,7.497797
2.05176,0.7780523,-0.4043795,0.9896896,7.504256
2.100514,0.6509008,-0.6388585,0.9896896,7.497797
2.149874,0.7780523,-0.7576866,0.9898543,7.497797
2.200414,0.7780523,-0.912735,0.9896896,7.497797
2.249863,0.7780523,-0.8974844,0.9896896,7.497797
2.301473,0.7780523,-0.8828691,0.9898543,7.504256
2.34972,0.7780523,-0.8993907,0.9898543,7.497797
2.400643,0.6509008,-0.9082869,0.9898543,7.497797
2.450258,0.7780523,-0.8987553,0.9898543,7.497797
2.500115,0.6509008,-0.8962135,0.9896896,7.497797
2.551286,0.6509008,-0.8860464,0.9900191,7.497797
2.600161,0.6509008,-0.8873172,0.9898543,7.497797
2.649969,0.7780523,-0.8765147,0.9896896,7.491337
2.700166,0.6509008,-0.8917654,0.9896896,7.491337
2.750126,0.7780523,-0.855545,0.9896896,7.497797
2.801234,0.6509008,-0.895578,0.9898543,7.497797
2.849721,0.6509008,-0.9819984,0.9898543,7.497797
2.899812,0.7780523,-1.130057,0.9898543,7.497797
2.949646,0.5237532,-1.208217,0.9896896,7.491337
3.000716,0.6509008,-1.208852,0.9896896,7.491337
3.050844,0.7780523,-1.172632,0.9896896,7.491337
3.101392,0.9051962,-1.168819,0.9898543,7.484879
3.150388,0.6509008,-1.173267,0.9896896,7.491337
3.200386,0.6509008,-1.161829,0.9898543,7.484879
3.250101,0.9051962,-1.129422,0.9898543,7.484879
3.301536,0.9051962,-1.016312,0.9896896,7.484879
3.351079,0.5237532,-0.7322688,0.9898543,7.484879
3.400156,0.9051962,-0.3656174,0.9898543,7.484879
3.450162,0.5237532,-0.2353513,0.9896896,7.478419
3.499671,0.6509008,-0.1177941,0.9896896,7.484879
3.550885,0.9051962,0.0785582,0.9898543,7.484879
3.601743,0.7780523,0.09889244,0.9898543,7.484879
3.649827,0.5237532,0.1179558,0.9896896,7.484879
3.700161,0.7780523,0.2094598,0.9898543,7.478419
3.750035,0.7780523,0.3314651,0.9898543,7.478419
3.801155,0.7780523,0.4979515,0.9898543,7.478419
3.851074,0.7780523,0.6174151,0.9896896,7.478419
3.899953,0.7780523,0.7508583,0.9898543,7.478419
3.949629,1.159495,0.8614258,0.9896896,7.478419
4.00067,1.413791,1.027912,0.9896896,7.478419
4.05133,0.7780523,1.073664,0.9896896,7.478419
4.101607,1.413791,1.120687,0.9896896,7.478419
4.150403,0.9051962,1.155636,0.9896896,7.47196
4.199883,0.9051962,1.156907,0.9896896,7.47196
4.249664,1.032348,1.191857,0.9898543,7.47196
4.301686,0.6509008,1.252859,0.9896896,7.47196
4.350698,0.9051962,1.279548,0.9896896,7.47196
4.40063,0.9051962,1.294799,0.9896896,7.47196
4.450358,1.286647,1.338009,0.9896896,7.47196
4.500151,0.7780523,1.388209,0.9896896,7.465501
4.551334,0.7780523,1.399647,0.9898543,7.47196
4.601525,0.7780523,1.41871,0.9896896,7.47196
4.649843,0.7780523,1.434597,0.9898543,7.465501
4.700482,0.7780523,1.435232,0.9896896,7.465501
4.750154,0.6509008,1.43269,0.9898543,7.465501
4.801381,0.6509008,1.426336,0.9896896,7.459042
4.851104,0.9051962,1.421252,0.9896896,7.465501
4.899674,0.6509008,1.400918,0.9898543,7.459042
4.94974,0.9051962,1.397105,0.9896896,7.459042
5.000074,0.7780523,1.336738,0.9896896,7.459042
5.050743,0.9051962,1.182961,0.9896896,7.465501
5.101836,0.9051962,1.1245,0.9896896,7.465501
5.149981,0.7780523,1.083831,0.9898543,7.459042
5.199835,0.7780523,1.080654,0.9896896,7.452582
5.249674,0.7780523,1.080654,0.9896896,7.452582
5.301449,0.9051962,1.049517,0.9898543,7.459042
5.350873,0.7780523,0.9999526,0.9898543,7.452582
5.399707,0.7780523,0.9211575,0.9898543,7.452582
5.450656,0.7780523,0.744504,0.9896896,7.452582
5.500392,0.7780523,0.6224986,0.9898543,7.452582
5.551394,0.9051962,0.5780174,0.9898543,7.452582
5.601006,0.7780523,0.4807945,0.9898543,7.452582
5.650644,0.9051962,0.4096248,0.9896896,7.452582
5.700109,0.7780523,0.321298,0.9896896,7.452582
5.750645,0.7780523,0.1764166,0.9898543,7.452582
5.801891,0.6509008,-0.04535344,0.9896896,7.446123
5.850821,0.7780523,-0.1495664,0.9896896,7.452582
5.900642,0.6509008,-0.1616398,0.9896896,7.446123
5.94984,0.7780523,-0.1711714,0.9898543,7.446123
6.00075,0.5237532,-0.1724423,0.9898543,7.446123
6.051748,0.6509008,-0.1775259,0.9896896,7.446123
6.101868,0.7780523,-0.2448829,0.9896896,7.446123
6.15039,0.7780523,-0.3471895,0.9898543,7.446123
6.199836,0.6509008,-0.4132757,0.9898543,7.439664
6.249805,0.6509008,-0.4469543,0.9896896,7.439664
6.300683,0.6509008,-0.4552151,0.9896896,7.439664
6.351183,0.7780523,-0.4653822,0.9900191,7.439664
6.400223,0.6509008,-0.7462486,0.9896896,7.439664
6.450099,0.7780523,-0.9800921,0.9898543,7.439664
6.500823,0.7780523,-1.099556,0.9896896,7.439664
6.551069,0.6509008,-1.087482,0.9898543,7.433205
6.601596,0.7780523,-1.030928,0.9896896,7.433205
6.650117,0.7780523,-1.042366,0.9896896,7.433205
6.699975,0.7780523,-0.9940719,0.9898543,7.426746
6.750387,0.9051962,-0.8396589,0.9896896,7.433205
6.801636,0.7780523,-0.5734077,0.9896896,7.426746
6.850734,0.7780523,-0.3738782,0.9896896,7.426746
6.900177,0.6509008,-0.2181943,0.9898543,7.426746
6.949851,0.7780523,-0.07649026,0.9896896,7.426746
6.999865,0.6509008,0.1281228,0.9896896,7.420287
7.050988,0.6509008,0.258389,0.9898543,7.426746
7.101849,0.6509008,0.3651436,0.9896896,7.420287
7.150328,0.7780523,0.4134374,0.9896896,7.426746
7.200119,0.6509008,0.4680856,0.9898543,7.420287
7.250116,0.6509008,0.5519643,0.9898543,7.413827
7.300926,0.7780523,0.7286177,0.9896896,7.420287
7.351592,0.6509008,0.961826,0.9898543,7.420287
7.40013,0.6509008,1.061591,0.9896896,7.413827
7.450054,0.6509008,1.094634,0.9898543,7.413827
7.500714,0.5237532,1.13975,0.9896896,7.413827
