t_sec,abp_mmHg,resp_arbunit,spo2_unitless,scon_muS
0,142.9302,-0.1649535,0.9799718,5.256467
0.05012191,125.2566,-0.1649535,0.9798071,5.262926
0.1008714,119.7892,-0.1587069,0.9798071,5.262926
0.1499027,114.3218,-0.1243481,0.9798071,5.269385
0.1994133,113.9403,-0.0931138,0.9796425,5.269385
0.2501181,113.9403,-0.07749607,0.9798071,5.269385
0.3007179,107.71,-0.1024837,0.9796425,5.275845
0.3509783,103.387,-0.1337192,0.9798071,5.275845
0.3991886,100.4626,-0.1524603,0.9798071,5.282304
0.4504391,99.31824,-0.2336711,0.9798071,5.282304
0.49927,97.41101,-0.3429941,0.9798071,5.275845
0.5510862,96.64812,-0.2055601,0.9798071,5.282304
0.600893,95.37663,-0.1430892,0.9798071,5.282304
0.6497365,91.56216,-0.3367475,0.9796425,5.282304
0.6994398,97.79247,-0.4273294,0.9796425,5.282304
0.7499076,141.1501,-0.4523171,0.9798071,5.288763
0.8010655,142.9302,-0.4460705,0.9798071,5.282304
0.8512436,129.5796,-0.5022936,0.9798071,5.288763
0.8996545,123.8579,-0.5741345,0.9796425,5.288763
0.9502416,115.339,-0.5647634,0.9799718,5.288763
0.9995919,114.9575,-0.5366524,0.9798071,5.288763
1.051026,114.5761,-0.5366524,0.9798071,5.288763
1.100634,115.0847,-0.5553935,0.9798071,5.288763
1.14984,108.3458,-0.5179114,0.9799718,5.295222
1.199534,104.1499,-0.4585637,0.9799718,5.295222
1.249341,101.9884,-0.3648585,0.9798071,5.295222
1.300449,100.3354,-0.09936044,0.9799718,5.295222
1.351016,99.69969,0.6971349,0.9799718,5.295222
1.399487,98.04675,0.972004,0.9798071,5.295222
1.449567,93.85085,0.9189042,0.9796425,5.301681
1.499515,95.88522,0.8658043,0.9798071,5.301681
1.550817,140.3873,0.8002112,0.9798071,5.301681
1.600883,145.7275,0.7158759,0.9798071,5.30814
1.649574,134.2841,0.5284654,0.9796425,5.301681
1.699653,131.614,0.3098194,0.9798071,5.30814
1.750143,121.1878,0.1286555,0.9798071,5.301681
1.801079,117.7548,-0.0837427,0.9796425,5.301681
1.850883,116.9919,-0.2524122,0.9798071,5.301681
1.899656,116.229,-0.3586119,0.9798071,5.30814
1.950388,110.8888,-0.4210816,0.9798071,5.30814
2.000411,105.5485,-0.5022936,0.9796425,5.30814
2.050654,102.3698,-0.5491457,0.9796425,5.30814
2.101377,101.9884,-0.5897511,0.9798071,5.314599
2.149984,101.9884,-0.5772578,0.9799718,5.314599
2.199898,99.44539,-0.6553454,0.9798071,5.30814
2.250066,95.37663,-0.8146449,0.9799718,5.314599
2.300163,105.8028,-0.8989791,0.9796425,5.314599
2.350584,145.346,-0.8677447,0.9798071,5.30814
2.39993,144.456,-0.8208915,0.9798071,5.30814
2.449972,134.157,-0.8146449,0.9796425,5.30814
2.500145,127.2909,-0.8177682,0.9796425,5.301681
2.551322,113.9403,-0.8614969,0.9798071,5.30814
2.601029,112.5417,-0.9926843,0.9798071,5.30814
2.649722,112.0331,-1.111378,0.9798071,5.30814
2.699719,110.7616,-1.155107,0.9798071,5.314599
2.750105,100.9712,-1.155107,0.9799718,5.321059
2.800254,96.52097,-1.192589,0.9798071,5.321059
2.850211,91.81647,-1.261307,0.9798071,5.327518
