t_sec,abp_mmHg,resp_arbunit,spo2_unitless,scon_muS
0,112.2874,-2.0323,1.269859,1.225949
0.04916622,112.1602,-2.050355,1.269859,1.225949
0.1004826,108.3458,-2.058688,1.269694,1.225949
0.1502649,106.4386,-2.082298,1.269859,1.225949
0.1993943,96.52097,-2.083687,1.269859,1.225949
0.250049,95.63092,-2.083687,1.269859,1.225949
0.2998066,95.63092,-2.080909,1.269859,1.225949
0.3510381,90.92643,-2.051744,1.269694,1.232408
0.401016,86.34908,-2.036466,1.269694,1.225949
0.4493503,82.91606,-2.014245,1.269859,1.225949
0.4992289,78.84731,-1.961469,1.269859,1.225949
0.5490511,76.55863,-1.88786,1.26953,1.21949
0.6002745,75.41429,-1.79203,1.269694,1.225949
0.6507472,73.37991,-1.100385,1.269694,1.225949
0.6995203,77.44867,-0.6990081,1.269859,1.225949
0.7495152,104.7856,-0.4309607,1.269859,1.225949
0.7990931,113.9403,-0.0545835,1.26953,1.225949
0.8501173,111.0159,0.2079083,1.269694,1.225949
0.9006404,108.4729,0.3884583,1.269859,1.225949
0.9499563,103.6413,0.5356759,1.269694,1.225949
0.9997655,97.15671,0.5926186,1.269859,1.21949
1.049554,97.02956,0.6245621,1.269859,1.225949
1.100564,96.01237,0.6565056,1.269694,1.21949
1.150512,89.2735,0.6662275,1.269859,1.225949
1.199251,85.20473,0.6745605,1.269694,1.225949
1.249051,82.15317,0.6703937,1.269859,1.21949
1.299804,79.73734,0.6578944,1.269859,1.225949
1.351058,77.83012,0.6384507,1.269859,1.225949
1.401054,75.92289,0.6134515,1.269694,1.225949
1.449332,91.30788,0.5884519,1.269859,1.225949
1.49976,113.0503,0.5523421,1.269859,1.225949
1.549471,113.3046,0.514843,1.269859,1.225949
1.600011,108.0915,0.4606783,1.269859,1.21949
1.649977,105.1671,0.4287348,1.269859,1.225949
1.699776,96.77527,0.3940138,1.269859,1.225949
1.749758,96.77527,0.355126,1.269859,1.225949
1.799508,95.75809,0.3148494,1.269694,1.225949
1.851114,90.67213,0.264851,1.269694,1.225949
1.900878,85.96764,0.2065196,1.269859,1.225949
1.949235,82.78893,0.1731873,1.269694,1.225949
1.999149,80.50024,0.1342995,1.269859,1.225949
2.049152,79.3559,0.05513511,1.270024,1.225949
2.100676,76.17719,-0.004585109,1.269859,1.225949
2.150409,81.64457,-0.08236022,1.269859,1.225949
2.199052,113.3046,-0.1226368,1.269694,1.21949
2.250062,114.0675,-0.2073567,1.269859,1.225949
2.299799,111.3974,-0.2851318,1.269859,1.21949
2.350343,108.7272,-0.3462413,1.269859,1.21949
2.400629,99.82683,-0.3795736,1.269694,1.21949
2.45014,94.86804,-0.4365163,1.269859,1.225949
2.499222,94.48659,-0.5073471,1.269859,1.21949
2.549008,94.48659,-0.661509,1.269694,1.21949
2.600142,86.09478,-0.9573331,1.269694,1.225949
2.650974,83.42466,-1.111495,1.269859,1.21949
2.698965,79.3559,-1.155938,1.269694,1.21949
2.749883,76.81293,-1.246213,1.269859,1.21949
2.799631,76.05004,-1.386486,1.269694,1.21949
2.850878,73.12562,-1.657311,1.269859,1.21949
2.900324,75.28716,-1.746197,1.269859,1.225949
2.949258,109.1087,-1.867027,1.269694,1.21949
2.999235,114.0675,-1.904526,1.269859,1.21949
3.049,111.7788,-1.925359,1.269694,1.21949
3.100713,109.1087,-1.94758,1.269859,1.21949
3.149975,101.4798,-1.967024,1.269694,1.21949
3.200186,96.01237,-1.987857,1.269694,1.21949
3.249075,94.86804,-2.014245,1.270024,1.21949
3.299284,94.86804,-2.030911,1.269859,1.21949
3.350048,94.48659,-2.0323,1.269859,1.225949
3.400748,83.29751,-2.042022,1.269859,1.21949
3.450011,79.22876,-2.050355,1.269694,1.225949
3.499459,77.32152,-2.082298,1.269694,1.21949
3.549741,75.79574,-2.093409,1.269694,1.21949
3.601015,73.76136,-2.06841,1.269859,1.21949
3.650877,75.41429,-2.026744,1.269694,1.21949
3.70019,93.978,-2.0073,1.269859,1.21949
3.750083,109.7444,-1.944803,1.269859,1.225949
3.79927,110.253,-1.854528,1.269859,1.21949
3.850372,107.5829,-1.62259,1.269859,1.21949
3.900752,103.0055,-0.7392847,1.269694,1.21949
3.94931,95.24948,-0.5045696,1.269694,1.21949
4.000016,95.24948,-0.086527,1.269859,1.21949
4.049991,95.24948,0.1926309,1.269859,1.21949
4.101125,89.0192,0.4134575,1.269694,1.21949
4.150164,85.07759,0.5495645,1.269859,1.21949
4.199972,81.39028,0.6176178,1.269694,1.21949
4.249037,78.84731,0.6551169,1.269859,1.21949
4.299078,76.94007,0.6745605,1.269694,1.213031
4.350867,75.66859,0.6745605,1.269859,1.21949
4.400493,73.76136,0.6676162,1.269694,1.21949
4.449117,97.53816,0.6370615,1.270024,1.213031
4.499857,115.339,0.6176178,1.269694,1.21949
4.549312,114.0675,0.5773413,1.269694,1.21949
