t_sec,abp_mmHg,resp_arbunit,spo2_unitless,scon_muS
0,81.26313,0.4998356,0.9699246,2.782607
0.05148753,80.50024,0.4660368,0.9699246,2.789066
0.1014507,79.86449,0.4209713,0.9697599,2.789066
0.1498773,79.48306,0.3744982,0.9699246,2.782607
0.2004475,78.72016,0.3266164,0.9699246,2.782607
0.2504553,76.55863,0.2801428,0.9697599,2.782607
0.3016799,75.79574,0.2280364,0.9699246,2.782607
0.3505871,104.6585,0.2055037,0.9697599,2.782607
0.400549,118.8991,0.1815633,0.9699246,2.782607
0.4504506,101.0983,0.1646634,0.9697599,2.782607
0.4996766,94.10515,0.1505809,0.9699246,2.782607
0.5509984,93.2151,0.1421312,0.9699246,2.782607
0.6009971,94.48659,0.1491727,0.9697599,2.782607
0.6507338,96.90242,0.1491727,0.9697599,2.782607
0.69993,98.6825,0.1421312,0.9697599,2.782607
0.7534997,87.49342,0.140723,0.9699246,2.782607
0.8015177,85.96764,0.1393143,0.9699246,2.782607
0.8515194,84.82329,0.1336815,0.9697599,2.782607
0.9002099,83.67896,0.1280482,0.9697599,2.776148
0.9500964,82.91606,0.1181903,0.9699246,2.782607
0.999722,82.28033,0.1210067,0.9699246,2.776148
1.050995,79.73734,0.1195985,0.9699246,2.782607
1.101684,77.32152,0.1238236,0.9697599,2.782607
1.150536,85.20473,0.1421312,0.9699246,2.776148
1.200199,117.2462,0.1843797,0.9697599,2.776148
1.250021,111.3974,0.2336697,0.9695953,2.776148
1.300915,96.90242,0.2928176,0.9699246,2.776148
1.351081,95.75809,0.3561907,0.9697599,2.776148
1.399688,94.48659,0.4308298,0.9699246,2.776148
1.450821,97.53816,0.5096934,0.9699246,2.782607
1.500697,99.57254,0.5702496,0.9697599,2.776148
1.551503,91.43503,0.6420723,0.9697599,2.776148
1.600863,87.62056,0.6984038,0.9699246,2.776148
1.650707,86.73053,0.7378354,0.9699246,2.776148
1.700502,83.93326,0.7674096,0.9697599,2.776148
1.749705,83.29751,0.7871254,0.9699246,2.776148
1.800962,82.91606,0.8096586,0.9697599,2.776148
1.850844,80.88168,0.8237406,0.9697599,2.776148
1.900154,78.59301,0.8307821,0.9699246,2.776148
1.949661,78.97446,0.8378236,0.9699246,2.776148
2.000682,107.2015,0.8476815,0.9699246,2.769689
2.050896,116.8647,0.854723,0.9699246,2.769689
2.101532,96.13953,0.8533154,0.9699246,2.776148
2.150586,92.19792,0.8476815,0.9697599,2.769689
2.200317,89.5278,0.84064,0.9697599,2.769689
2.250242,93.72369,0.8293744,0.9697599,2.776148
2.301591,98.04675,0.8195165,0.9697599,2.776148
2.35166,97.15671,0.8026171,0.9697599,2.776148
2.399688,86.73053,0.7829008,0.9699246,2.769689
2.450684,82.91606,0.763185,0.9697599,2.769689
2.500682,81.26313,0.735019,0.9697599,2.769689
2.551515,79.3559,0.7082617,0.9598774,2.769689
2.601314,79.48306,0.6885459,0.9598774,2.769689
2.649829,78.33871,0.6547466,0.9598774,2.769689
2.699683,77.32152,0.6237647,0.9598774,2.769689
2.749984,77.44867,0.5941905,0.9598774,2.769689
2.801315,80.88168,0.5688414,0.9598774,2.769689
2.850905,113.3046,0.5491256,0.9598774,2.769689
2.900677,102.6241,0.5392677,0.9598774,2.769689
2.95065,92.7065,0.5294093,0.9598774,2.769689
3.000689,91.18073,0.5195514,0.9597127,2.769689
3.050698,92.57936,0.5209596,0.9598774,2.76323
3.100714,94.99519,0.5096934,0.9597127,2.76323
3.149782,98.30104,0.4984274,0.9598774,2.76323
3.200667,85.96764,0.4913859,0.9597127,2.769689
3.250819,84.44184,0.4829362,0.9598774,2.76323
3.300803,82.78893,0.4744865,0.9597127,2.76323
3.351481,80.88168,0.4688532,0.9597127,2.76323
3.400229,81.00883,0.4491374,0.9598774,2.76323
3.450233,79.86449,0.4420959,0.9598774,2.76323
3.500677,78.46587,0.4237882,0.9597127,2.76323
3.55148,75.66859,0.4012555,0.9600421,2.76323
3.601478,84.3147,0.3815398,0.9598774,2.76323
3.650226,117.5005,0.3604153,0.9597127,2.76323
3.700743,119.0263,0.3463322,0.9597127,2.76323
3.750277,97.41101,0.3378825,0.9598774,2.76323
3.801433,96.39381,0.330841,0.9598774,2.76323
3.850933,95.50377,0.3294328,0.9598774,2.76323
3.899696,95.75809,0.3322497,0.9598774,2.76323
3.950398,97.15671,0.330841,0.9598774,2.76323
3.999934,98.42819,0.3266164,0.9597127,2.76323
4.050962,87.23911,0.3181667,0.9598774,2.76323
