t_sec,abp_mmHg,resp_arbunit,spo2_unitless,scon_muS
0,94.10515,-1.120807,0.9799718,4.739734
0.04931321,92.19792,-1.158509,0.9798071,4.733274
0.1013353,90.29069,-1.19244,0.9798071,4.733274
0.1501157,88.00201,-1.150968,0.9799718,4.739734
0.2001178,86.73053,-1.056713,0.9799718,4.733274
0.2496879,84.569,-1.083104,0.9799718,4.739734
0.2993488,80.37309,-1.203751,0.9798071,4.739734
0.3507409,97.79247,-1.256533,0.9798071,4.733274
0.4002244,138.9886,-1.252763,0.9798071,4.733274
0.450074,134.2841,-1.241452,0.9798071,4.733274
0.4994273,128.6896,-1.248994,0.9798071,4.739734
0.5503347,126.4009,-1.203751,0.9798071,4.739734
0.6010497,121.5692,-1.109497,0.9798071,4.739734
0.6503327,116.9919,-1.030322,0.9798071,4.739734
0.6998228,116.9919,-0.9775403,0.9799718,4.739734
0.7493673,115.7204,-0.8908259,0.9798071,4.739734
0.800364,106.82,-0.7739491,0.9798071,4.739734
0.8511578,101.6069,-0.5100372,0.9799718,4.739734
0.8994344,99.19109,-0.2875962,0.9799718,4.739734
0.9503747,96.52097,0.01401937,0.9798071,4.733274
0.999734,94.61374,0.1422061,0.9798071,4.733274
1.049307,92.19792,0.2364604,0.9798071,4.739734
1.1004,89.40065,0.3533358,0.9798071,4.733274
1.14944,87.49342,0.4589014,0.9798071,4.733274
1.199204,85.58618,0.5192248,0.9799718,4.733274
1.25035,82.91606,0.5154548,0.9798071,4.733274
1.299374,82.40748,0.5192248,0.9798071,4.733274
1.350696,106.3114,0.5720069,0.9798071,4.726816
1.399775,140.1329,0.7265846,0.9798071,4.726816
1.449194,136.0642,0.8623112,0.9798071,4.726816
1.49938,127.6724,0.84723,0.9798071,4.726816
1.550358,123.9851,0.8698511,0.9798071,4.720356
1.600412,116.4833,0.9527956,0.9798071,4.720356
1.650332,113.686,1.016889,0.9798071,4.726816
1.699315,112.9231,1.054591,0.9798071,4.726816
1.750226,109.4901,1.058361,0.9798071,4.726816
1.799546,104.4042,1.024429,0.9798071,4.726816
1.850658,100.2083,0.9452557,0.9798071,4.726816
1.89986,97.28386,0.8962436,0.9799718,4.733274
1.950111,95.75809,0.8510014,0.9798071,4.733274
2.000209,93.34225,0.8095291,0.9798071,4.726816
2.049982,90.67213,0.7529757,0.9798071,4.726816
2.10123,89.14634,0.7378958,0.9798071,4.713897
2.149537,86.47623,0.6285604,0.9799718,4.720356
2.199189,81.77173,0.5720069,0.9799718,4.720356
2.250227,79.3559,0.4852925,0.9798071,4.713897
2.300295,83.55181,0.4287404,0.9799718,4.713897
2.350191,121.4421,0.3872682,0.9798071,4.713897
2.400227,137.59,0.3118636,0.9799718,4.713897
2.450212,125.8923,0.2100693,0.9798071,4.713897
2.50002,123.9851,0.1535159,0.9798071,4.713897
2.550231,114.9575,0.1308948,0.9798071,4.713897
2.60023,111.7788,0.1007338,0.9798071,4.707438
2.650225,111.3974,0.05549162,0.9799718,4.713897
2.69985,111.906,-0.001061821,0.9798071,4.707438
2.750424,102.497,-0.06515516,0.9796425,4.707438
2.799271,98.30104,-0.1594095,0.9799718,4.707438
2.851102,95.88522,-0.2612037,0.9799718,4.707438
2.899301,92.57936,-0.329067,0.9798071,4.707438
2.9497,90.79928,-0.4157815,0.9798071,4.707438
2.999845,90.03638,-0.5024959,0.9798071,4.713897
3.050276,87.49342,-0.6118314,0.9799718,4.707438
3.100908,85.96764,-0.5364283,0.9798071,4.707438
3.149696,84.95044,-0.525117,0.9799718,4.707438
3.199849,80.50024,-0.7965702,0.9799718,4.707438
3.249669,79.3559,-0.917217,0.9798071,4.707438
3.299767,100.3354,-0.973769,0.9798071,4.707438
3.35039,141.5316,-1.003931,0.9798071,4.707438
3.399972,136.0642,-1.060483,0.9798071,4.707438
3.449494,127.1638,-1.162279,0.9796425,4.707438
3.499856,126.4009,-1.226372,0.9798071,4.707438
3.549527,123.2222,-1.237682,0.9799718,4.707438
3.601493,113.0503,-1.267845,0.9799718,4.707438
3.650221,112.5417,-1.305546,0.9798071,4.707438
3.700016,110.1259,-1.313087,0.9799718,4.707438
3.749443,103.7684,-1.316857,0.9799718,4.707438
3.799302,98.6825,-1.309317,0.9798071,4.707438
3.850317,95.63092,-1.279155,0.9798071,4.707438
3.899665,94.10515,-1.19244,0.9798071,4.707438
3.950095,91.18073,-1.169819,0.9798071,4.713897
3.999968,89.5278,-1.109497,0.9799718,4.713897
4.051197,88.12916,-0.9850802,0.9798071,4.707438
4.101169,85.96764,-0.8606635,0.9798071,4.713897
4.149671,81.00883,-0.8531236,0.9798071,4.713897
4.199691,80.62739,-0.8342724,0.9799718,4.720356
4.249693,95.63092,-0.747558,0.9796425,4.720356
4.301149,138.48,-0.5175771,0.9799718,4.720356
4.351137,134.157,-0.3139872,0.9798071,4.720356
4.399764,126.0195,-0.01991297,0.9798071,4.720356
4.449494,122.3321,0.08565262,0.9798071,4.720356
4.499486,121.315,0.2402303,0.9798071,4.713897
4.550817,114.9575,0.342026,0.9798071,4.713897
4.600336,113.3046,0.4438202,0.9798071,4.720356
4.650214,113.3046,0.5267647,0.9798071,4.720356
4.69966,105.5485,0.6021679,0.9799718,4.733274
4.749341,100.3354,0.7265846,0.9798071,4.733274
4.800922,97.02956,0.817069,0.9798071,4.733274
4.851434,94.99519,0.8773924,0.9799718,4.726816
4.89992,92.96081,0.9113234,0.9799718,4.733274
4.949416,91.43503,0.9414858,0.9798071,4.733274
4.999894,89.5278,1.005579,0.9798071,4.733274
5.051045,87.62056,1.133764,0.9798071,4.739734
5.101046,82.40748,1.114913,0.9798071,4.733274
5.149653,82.02603,1.04328,0.9798071,4.733274
5.200448,108.3458,1.001808,0.9798071,4.726816
5.250086,137.7171,0.9678768,0.9798071,4.733274
5.301421,135.8099,0.8887023,0.9798071,4.733274
5.350235,125.7652,0.786908,0.9798071,4.739734
5.399797,122.3321,0.7265846,0.9798071,4.739734
5.449255,114.9575,0.6851124,0.9799718,4.739734
5.500461,113.1774,0.6549514,0.9799718,4.739734
5.550918,113.1774,0.564467,0.9799718,4.746193
5.600784,114.1946,0.5116835,0.9798071,4.746193
5.649292,104.9128,0.5041436,0.9799718,4.746193
