t_sec,abp_mmHg,resp_arbunit,spo2_unitless,scon_muS
0,76.30434,-0.3238609,0.9900191,6.748534
0.04981672,82.91606,-0.3310193,0.9898543,6.748534
0.1005146,104.1499,-0.3381779,0.9898543,6.735615
0.1512399,109.1087,-0.3471257,0.9898543,6.735615
0.2002953,105.93,-0.3605479,0.9898543,6.735615
0.2501709,99.06393,-0.3766544,0.9898543,6.735615
0.3001878,93.85085,-0.3829179,0.9896896,6.735615
0.3511193,92.7065,-0.4321323,0.9898543,6.729156
0.4009424,92.19792,-0.4536076,0.9898543,6.729156
0.4496914,91.81647,-0.4706088,0.9896896,6.722697
0.499679,84.95044,-0.5046112,0.9896896,6.722697
0.5495265,82.15317,-0.5636685,0.9896896,6.716238
0.6008106,79.73734,-0.5905126,0.9898543,6.716238
0.6512935,76.55863,-0.6146721,0.9896896,6.709778
0.7001866,75.03284,-0.6316733,0.9896896,6.709778
0.7497424,102.6241,-0.6522537,0.9898543,6.709778
0.8001831,109.8716,-0.669255,0.9898543,6.70332
0.8514144,108.7272,-0.6728343,0.9898543,6.70332
0.9011843,100.4626,-0.6916253,0.9898543,6.70332
0.9499373,93.46941,-0.6978889,0.9898543,6.69686
0.9996438,92.19792,-0.729207,0.9898543,6.69686
1.049642,92.57936,-0.7784211,0.9896896,6.690401
1.101616,93.34225,-0.8142133,0.9898543,6.690401
1.151501,85.71333,-0.8580586,0.9898543,6.683942
1.200034,82.53461,-0.8992196,0.9900191,6.683942
1.250319,80.50024,-0.907273,0.9896896,6.683942
1.299932,77.57583,-0.9359066,0.9898543,6.677483
1.351184,75.79574,-1.006596,0.9896896,6.671023
1.400849,90.67213,-1.188241,0.9898543,6.671023
1.450057,109.8716,-1.302776,0.9799718,6.671023
1.499932,109.6173,-1.343042,0.9798071,6.671023
1.550191,104.5313,-1.42268,0.9798071,6.671023
1.601324,99.95398,-1.476368,0.9798071,6.664565
1.651438,94.61374,-1.480842,0.9798071,6.664565
1.699935,92.96081,-1.514845,0.9798071,6.664565
1.749927,93.85085,-1.531846,0.9796425,6.658105
1.799494,89.2735,-1.504107,0.9799718,6.658105
1.850658,85.20473,-1.472789,0.9798071,6.658105
1.900629,81.13599,-1.458472,0.9798071,6.651646
1.949934,80.11879,-1.428943,0.9796425,6.651646
1.999929,76.43149,-1.405678,0.9799718,6.651646
2.049497,76.68578,-1.394046,0.9798071,6.645187
2.100665,102.2427,-1.35378,0.9798071,6.645187
2.151515,111.0159,-1.330515,0.9798071,6.645187
2.199977,107.71,-1.244614,0.9798071,6.638728
2.249651,103.2598,-1.079075,0.9799718,6.638728
2.300645,97.28386,-0.9278532,0.9798071,6.638728
2.350656,93.08795,-0.8768496,0.9798071,6.632268
2.401651,92.7065,-0.7569458,0.9798071,6.632268
2.450438,93.08795,-0.7014682,0.9798071,6.632268
2.499929,87.62056,-0.6710448,0.9799718,6.62581
2.549927,82.28033,-0.6254097,0.9798071,6.632268
2.600989,79.86449,-0.5797749,0.9799718,6.62581
2.65093,79.10161,-0.5520357,0.9798071,6.62581
2.699537,77.95727,-0.5180334,0.9796425,6.61935
2.75038,103.8956,-0.4133413,0.9796425,6.61935
2.799753,109.2358,-0.3372832,0.9799718,6.61935
2.850882,107.5829,-0.3014909,0.9796425,6.612891
2.90063,99.95398,-0.2719623,0.9798071,6.61935
2.950632,93.46941,-0.2406441,0.9798071,6.612891
2.999845,91.56216,-0.2102211,0.9798071,6.612891
3.049652,92.32506,-0.1815872,0.9798071,6.606432
3.100923,91.81647,-0.1592172,0.9798071,6.606432
3.150923,85.71333,-0.1162666,0.9796425,6.599973
3.199837,81.00883,-0.1019497,0.9798071,6.606432
3.250043,78.21156,-0.09210681,0.9799718,6.599973
3.299924,75.03284,-0.08315901,0.9798071,6.599973
3.351166,74.77856,-0.07778986,0.9798071,6.599973
3.401165,94.99519,-0.07689511,0.9798071,6.599973
3.449601,107.71,-0.08315901,0.9798071,6.593513
3.500572,102.2427,-0.09210681,0.9799718,6.593513
3.550474,98.6825,-0.1037392,0.9798071,6.593513
