t_sec,abp_mmHg,resp_arbunit,spo2_unitless,scon_muS
0,0.5237532,-1.213845,0.9699246,2.84074
0.04860778,0.3966055,-1.194855,0.9598774,2.84074
0.09926217,0.5237532,-1.202058,0.9598774,2.84074
0.1488395,0.3966055,-1.164733,0.9598774,2.834281
0.1984706,0.3966055,-1.129372,0.9598774,2.834281
0.2493411,0.5237532,-1.083534,0.9598774,2.834281
0.2985101,0.3966055,-0.8347002,0.9598774,2.834281
0.349012,0.3966055,-0.5832469,0.9598774,2.834281
0.3985915,0.5237532,-0.5040129,0.9598774,2.827821
0.4484683,0.3966055,-0.4339464,0.9600421,2.834281
0.4992613,0.3966055,-0.4182306,0.9597127,2.827821
0.5485823,0.5237532,-0.4064437,0.9598774,2.827821
0.5992168,0.3966055,-0.4084082,0.9598774,2.827821
0.6492149,0.3966055,-0.4149565,0.9598774,2.827821
0.6985719,0.5237532,-0.4143017,0.9697599,2.827821
0.7502083,0.5237532,-0.4260885,0.9699246,2.827821
0.7985685,0.3966055,-0.4594847,0.9697599,2.821362
0.8483303,0.3966055,-0.2296406,0.9699246,2.821362
0.898787,0.6509008,0.4572724,0.9697599,2.821362
0.9489639,0.3966055,0.7990918,0.9699246,2.821362
0.9997266,0.269454,0.9104123,0.9699246,2.821362
1.049219,0.5237532,1.015839,0.9697599,2.821362
1.098314,0.3966055,1.076738,0.9697599,2.821362
1.148378,0.5237532,1.097693,0.9697599,2.821362
1.19838,0.5237532,1.074774,0.9699246,2.814903
1.24963,0.5237532,1.036139,0.9697599,2.814903
1.299428,0.5237532,0.9994687,0.9699246,2.814903
1.349126,0.3966055,0.9438084,0.9597127,2.808444
1.39882,0.5237532,0.4107797,0.9598774,2.814903
1.448841,0.3966055,-0.4915712,0.9598774,2.814903
1.499571,0.5237532,-0.4562105,0.9597127,2.808444
1.548255,0.3966055,-0.4496623,0.9598774,2.808444
1.598926,0.269454,-0.4149565,0.9598774,2.808444
1.648853,0.3966055,-0.4084082,0.9597127,2.808444
1.698424,0.3966055,-0.3913827,0.9598774,2.801985
1.749333,0.3966055,-0.3848345,0.9598774,2.808444
1.799101,0.5237532,-0.378941,0.9598774,2.801985
1.848837,0.5237532,-0.3835248,0.9598774,2.801985
1.898574,0.5237532,-0.3737024,0.9597127,2.801985
1.948375,0.269454,-0.4136468,0.9598774,2.801985
1.999842,0.5237532,-0.4359109,0.9598774,2.801985
2.048507,0.5237532,-0.4463881,0.9597127,2.801985
2.099455,0.5237532,-0.5360993,0.9600421,2.795526
2.149083,0.3966055,-0.824223,0.9597127,2.801985
2.198828,0.5237532,-0.9931682,0.9600421,2.795526
2.250116,0.5237532,-1.023945,0.9598774,2.795526
2.298797,0.5237532,-1.050138,0.9598774,2.795526
2.349375,0.6509008,-1.054067,0.9598774,2.795526
2.399103,0.3966055,-1.048828,0.9598774,2.789066
2.448825,0.5237532,-1.033113,0.9598774,2.795526
2.499964,0.5237532,-1.028529,0.9598774,2.789066
2.548375,0.3966055,-1.026564,0.9598774,2.789066
