t_sec,abp_mmHg,resp_arbunit,spo2_unitless,scon_muS
0,99.06393,-2.952436,0.9896896,3.790237
0.04914269,96.77527,-2.99806,0.9898543,3.790237
0.09924831,88.5106,-3.056716,0.9898543,3.783778
0.1482591,86.60338,-3.089303,0.9896896,3.783778
0.1992365,86.22193,-3.154478,0.9898543,3.783778
0.2500128,85.96764,-3.174029,0.9898543,3.783778
0.299285,76.17719,-3.213134,0.9896896,3.783778
0.3489801,72.99847,-3.232687,0.9896896,3.783778
0.3987709,70.4555,-3.258755,0.9896896,3.783778
0.449147,69.05686,-3.29786,0.9898543,3.783778
0.5002246,67.40394,-3.343484,0.9898543,3.777318
0.5497953,64.35236,-3.402139,0.9896896,3.777318
0.5993694,63.08088,-3.454278,0.9896896,3.777318
0.648989,77.70296,-3.545523,0.9898543,3.777318
0.6986023,104.5313,-3.558557,0.9900191,3.777318
0.7496147,102.2427,-3.558557,0.9898543,3.777318
0.7997472,98.6825,-3.558557,0.9898543,3.777318
0.848246,96.39381,-3.558557,0.9896896,3.777318
0.8983492,88.63776,-3.571594,0.9898543,3.770859
0.9487507,86.98483,-3.558557,0.9896896,3.770859
1.000016,86.22193,-3.545523,0.9896896,3.770859
1.049618,86.22193,-3.539006,0.9900191,3.770859
1.099266,76.05004,-3.532487,0.9898543,3.7644
1.148835,74.14281,-3.532487,0.9898543,3.770859
1.198228,70.20119,-3.512936,0.9898543,3.7644
1.249609,68.54827,-3.499902,0.9896896,3.7644
1.299623,67.02249,-3.42821,0.9898543,3.7644
1.348649,63.84377,-3.317413,0.9898543,3.7644
1.398496,70.83694,-3.2001,0.9898543,3.7644
1.448896,70.9641,-3.037165,0.9896896,3.757941
1.499255,103.6413,-2.789501,0.9896896,3.7644
1.550361,100.9712,-2.281143,0.9898543,3.757941
1.598969,97.9196,-2.118208,0.9898543,3.757941
1.648383,93.978,-1.935719,0.9896896,3.757941
1.698902,87.11198,-1.753231,0.9898543,3.757941
1.75002,86.73053,-1.616367,0.9896896,3.757941
1.799251,86.34908,-1.4795,0.9896896,3.757941
1.848608,80.11879,-1.310048,0.9898543,3.757941
1.898382,76.05004,-1.14711,0.9898543,3.751482
1.948711,72.61702,-1.016763,0.9896896,3.757941
2.000235,71.09124,-0.8864151,0.9898543,3.751482
2.049646,69.05686,-0.8342742,0.9898543,3.751482
2.09939,67.02249,-0.8212401,0.9898543,3.751482
2.148217,67.53107,-0.8147231,0.9896896,3.751482
2.199267,93.08795,-0.8407936,0.9896896,3.751482
2.249687,103.5141,-0.8798981,0.9896896,3.745023
2.299604,101.7341,-0.9124832,0.9896896,3.751482
2.349239,97.02956,-0.9841751,0.9896896,3.745023
2.398487,93.72369,-1.010246,0.9898543,3.751482
2.448683,85.84048,-1.088455,0.9896896,3.745023
2.500239,85.84048,-1.160147,0.9898543,3.745023
2.55008,85.58618,-1.25139,0.9898543,3.745023
