t_sec,abp_mmHg,resp_arbunit,spo2_unitless,scon_muS
0,128.0538,-0.4026064,0.9799718,5.295222
0.05002381,111.906,-0.5191428,0.9798071,5.295222
0.1007165,107.9643,-0.6568676,0.9798071,5.295222
0.1503268,104.4042,-0.8140153,0.9798071,5.295222
0.1989463,102.3698,-0.8175465,0.9799718,5.295222
0.249001,105.5485,-0.8069523,0.9798071,5.288763
0.2994452,106.82,-0.8016555,0.9799718,5.288763
0.350774,96.90242,-0.8051867,0.9798071,5.288763
0.3999831,95.37663,-0.7804671,0.9799718,5.288763
0.4494804,93.34225,-0.7151362,0.9798071,5.288763
0.499577,92.07076,-0.6815873,0.9799718,5.288763
0.5495278,91.43503,-0.6445078,0.9798071,5.288763
0.600513,90.67213,-0.5438624,0.9798071,5.288763
0.6505223,91.68932,-0.4449833,0.9798071,5.288763
0.6998162,127.2909,-0.2896012,0.9798071,5.288763
0.749402,124.4937,-0.1430477,0.9798071,5.288763
0.7992728,107.2015,0.007037612,0.9798071,5.282304
0.8499824,102.497,0.0970888,0.9799718,5.288763
0.900453,101.0983,0.1712477,0.9798071,5.282304
0.9500234,104.1499,0.2383442,0.9798071,5.288763
0.999704,106.9472,0.3178018,0.9799718,5.282304
1.049432,106.6929,0.3919607,0.9799718,5.282304
1.100303,96.90242,0.4608234,0.9798071,5.288763
1.150526,94.86804,0.5367485,0.9798071,5.262926
1.199707,93.46941,0.5738293,0.9798071,5.282304
1.24976,92.96081,0.6003138,0.9799718,5.282304
1.299489,92.19792,0.6250335,0.9799718,5.275845
1.350147,92.19792,0.6497544,0.9799718,5.275845
1.399977,107.2015,0.660348,0.9798071,5.275845
1.449986,122.4593,0.6532856,0.9799718,5.275845
1.49993,110.253,0.6621143,0.9798071,5.275845
1.549269,103.0055,0.6886001,0.9798071,5.275845
1.600394,101.0983,0.7027249,0.9799718,5.269385
1.649991,100.4626,0.7009599,0.9798071,5.275845
1.699944,107.9643,0.7009599,0.9798071,5.275845
1.749102,107.2015,0.7115535,0.9799718,5.275845
1.79898,97.66531,0.7009599,0.9796425,5.275845
1.850104,94.86804,0.6886001,0.9798071,5.275845
1.900684,93.72369,0.6409258,0.9798071,5.269385
1.949614,94.48659,0.5438122,0.9798071,5.269385
1.999073,93.85085,0.3972581,0.9799718,5.275845
2.048943,99.44539,0.3142706,0.9798071,5.269385
2.100021,120.4249,0.2789561,0.9796425,5.269385
2.150746,126.2737,0.2542365,0.9799718,5.262926
2.19951,107.5829,0.2065622,0.9798071,5.262926
2.249105,104.1499,0.1076824,0.9798071,5.262926
2.299905,99.95398,0.05471127,0.9799718,5.262926
2.350986,107.5829,-0.005322854,0.9798071,5.269385
2.400916,108.2186,-0.04769973,0.9799718,5.262926
2.449903,105.2942,-0.0918422,0.9798071,5.262926
2.49997,97.28386,-0.1448133,0.9798071,5.269385
2.549162,97.15671,-0.1624705,0.9798071,5.262926
2.599946,96.52097,-0.1942532,0.9799718,5.262926
2.650867,96.01237,-0.2454587,0.9798071,5.262926
2.699583,94.99519,-0.2843037,0.9798071,5.262926
2.750095,109.9987,-0.3072584,0.9798071,5.262926
2.799813,139.3701,-0.3160864,0.9799718,5.262926
2.850945,118.3905,-0.3196182,0.9798071,5.262926
2.90072,112.6688,-0.3213838,0.9798071,5.262926
2.949858,111.5245,-0.3496353,0.9798071,5.256467
2.999796,109.2358,-0.3461035,0.9799718,5.262926
3.049597,111.3974,-0.3390411,0.9798071,5.262926
3.100333,112.2874,-0.3443379,0.9798071,5.256467
3.150937,111.906,-0.3549321,0.9798071,5.262926
3.199595,101.0983,-0.4555775,0.9798071,5.256467
3.249595,98.80965,-0.6939477,0.9799718,5.262926
3.299319,98.04675,-0.8422668,0.9798071,5.256467
3.350259,96.52097,-0.941146,0.9798071,5.262926
3.401101,95.75809,-0.9323173,0.9799718,5.256467
3.449226,103.387,-0.9588032,0.9798071,5.256467
3.499183,133.5212,-1.043557,0.9798071,5.256467
3.549853,114.9575,-1.085934,0.9798071,5.262926
3.599963,113.3046,-1.11242,0.9799718,5.262926
3.650733,112.5417,-1.114185,0.9798071,5.269385
3.699506,108.4729,-1.047089,0.9798071,5.269385
3.749386,111.5245,-0.9164263,0.9798071,5.269385
3.799505,113.4317,-0.6462734,0.9798071,5.269385
3.850756,102.6241,-0.3496353,0.9798071,5.282304
3.900056,100.7169,-0.1200937,0.9798071,5.269385
3.950102,99.31824,0.04235146,0.9798071,5.275845
3.999714,98.55534,0.1606541,0.9798071,5.275845
4.049342,98.42819,0.2542365,0.9798071,5.282304
4.100589,96.13953,0.3142706,0.9799718,5.288763
4.15096,104.6585,0.3813671,0.9898543,5.295222
4.199584,128.181,0.4749495,0.9898543,5.295222
4.249586,129.4525,0.542046,0.9896896,5.301681
4.299583,112.6688,0.5897203,0.9896896,5.301681
4.350677,110.7616,0.6267998,0.9898543,5.314599
4.400019,107.2015,0.6621143,0.9900191,5.321059
4.450094,109.2358,0.6938962,0.9898543,5.327518
4.500013,111.5245,0.7168509,0.9898543,5.333977
4.549911,103.5141,0.7592278,0.9898543,5.346895
4.600424,101.4798,0.7804163,0.9898543,5.359814
4.651059,99.44539,0.7963073,0.9898543,5.372732
4.69972,98.04675,0.7998384,0.9898543,5.379191
4.749709,98.04675,0.8069021,0.9898543,5.398569
4.799232,96.90242,0.7963073,0.9898543,5.411487
4.85058,104.1499,0.7821825,0.9900191,5.424405
4.900336,130.8511,0.7539304,0.9898543,5.443783
4.950208,123.3493,0.7239133,0.9898543,5.456701
4.999793,109.2358,0.6956625,0.9898543,5.476079
5.049875,104.9128,0.6691766,0.9898543,5.488997
5.101059,103.387,0.6356283,0.9898543,5.514833
5.150553,111.0159,0.5985489,0.9898543,5.534211
5.199574,111.906,0.5473434,0.9898543,5.553588
5.250103,111.1431,0.4731832,0.9896896,5.572966
5.299067,98.1739,0.4149154,0.9896896,5.592343
5.35082,96.13953,0.35135,0.9898543,5.61818
5.400349,96.13953,0.3195668,0.9900191,5.644017
5.449064,94.10515,0.2524702,0.9896896,5.663394
5.49903,93.08795,0.1818426,0.9898543,5.682772
